player_name,team_code,jersey_number,position,height_feet_inches,weight_pounds,college_name,country_name
Jalen Green,PHX,4.0,G,6-4,186 lbs,NBA G League Ignite,USA
Javonte Green,DET,31.0,G,6-5,205 lbs,Radford,USA
Jeff Green,HOU,32.0,F,6-8,235 lbs,Georgetown,USA
Josh Green,CHA,10.0,G,6-6,200 lbs,Arizona,Australia
Quentin Grimes,PHI,5.0,G,6-4,210 lbs,Houston,USA
Mouhamed Gueye,ATL,18.0,F,6-11,210 lbs,Washington State,Senegal
Rui Hachimura,LAL,28.0,F,6-8,230 lbs,Gonzaga,Japan
Tyrese Haliburton,IND,0.0,G,6-5,185 lbs,Iowa State,USA
PJ Hall,MEM,16.0,C,6-8,245 lbs,Clemson,USA
Tim Hardaway Jr.,DEN,10.0,G-F,6-5,205 lbs,Michigan,USA
James Harden,LAC,1.0,G,6-5,220 lbs,Arizona State,USA
Jaden Hardy,DAL,1.0,G,6-3,198 lbs,NBA G League Ignite,USA
Elijah Harkless,UTA,16.0,G,6-3,195 lbs,UNLV,USA
Dylan Harper,SAS,2.0,G,6-5,215 lbs,Rutgers,USA
Ron Harper Jr.,BOS,13.0,G-F,6-5,233 lbs,Rutgers,USA
Gary Harris,MIL,11.0,G,6-4,210 lbs,Michigan State,USA
Kevon Harris,HOU,0.0,G,6-5,216 lbs,Stephen F. Austin,USA
Tobias Harris,DET,12.0,F,6-8,226 lbs,Tennessee,USA
Josh Hart,NYK,3.0,G,6-5,215 lbs,Villanova,USA
Isaiah Hartenstein,OKC,55.0,C-F,7-0,250 lbs,Zalgiris,Germany
Sam Hauser,BOS,30.0,F,6-7,217 lbs,Virginia,USA
Jordan Hawkins,NOP,24.0,G,6-5,190 lbs,Connecticut,USA
Jaxson Hayes,LAL,11.0,C-F,7-0,220 lbs,Texas,USA
Nigel Hayes-Davis,PHX,21.0,F,6-7,254 lbs,Wisconsin,USA
Scoot Henderson,POR,0.0,G,6-3,207 lbs,NBA G League Ignite,USA
Taylor Hendricks,UTA,0.0,F,6-9,215 lbs,Central Florida,USA
Chucky Hepburn,TOR,,G,6-0,190 lbs,Louisville,USA
Tyler Herro,MIA,14.0,G,6-5,195 lbs,Kentucky,USA
Buddy Hield,GSW,7.0,G,6-4,220 lbs,Oklahoma,Bahamas
Haywood Highsmith,BKN,7.0,F,6-5,220 lbs,Wheeling Jesuit,USA
Aaron Holiday,HOU,0.0,G,6-0,185 lbs,UCLA,USA
Jrue Holiday,POR,5.0,G,6-4,220 lbs,UCLA,USA
Ronald Holland II,DET,5.0,F,6-8,206 lbs,NBA G League Ignite,USA
DaRon Holmes II,DEN,14.0,F,6-9,225 lbs,Dayton,USA
Chet Holmgren,OKC,7.0,C-F,7-1,208 lbs,Gonzaga,USA
Al Horford,GSW,20.0,C-F,6-8,240 lbs,Florida,Dominican Republic
Caleb Houstan,ATL,33.0,G,6-8,205 lbs,Michigan,Canada
Jett Howard,ORL,13.0,G,6-8,215 lbs,Michigan,USA
Kevin Huerter,CHI,13.0,G-F,6-6,198 lbs,Maryland,USA
Jay Huff,IND,32.0,C,7-1,240 lbs,Virginia,USA
Ariel Hukporti,NYK,55.0,C,7-0,246 lbs,Riesen Ludwigsburg,Germany
De'Andre Hunter,CLE,12.0,F-G,6-7,221 lbs,Virginia,USA
CJ Huntley,PHX,22.0,F,6-9,190 lbs,Appalachian State,USA
Bones Hyland,MIN,8.0,G,6-2,169 lbs,Virginia Commonwealth,USA
Oso Ighodaro,PHX,11.0,F,6-11,235 lbs,Marquette,USA
Joe Ingles,MIN,7.0,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia
Brandon Ingram,TOR,3.0,F,6-8,190 lbs,Duke,USA
Harrison Ingram,SAS,55.0,F,6-5,230 lbs,North Carolina,USA
Kyrie Irving,DAL,11.0,G,6-2,195 lbs,Duke,Australia
Jonathan Isaac,ORL,1.0,F,6-10,230 lbs,Florida State,USA
Jaden Ivey,DET,23.0,G,6-3,195 lbs,Purdue,USA
GG Jackson,MEM,45.0,F,6-9,210 lbs,South Carolina,USA
Isaiah Jackson,IND,22.0,F,6-8,205 lbs,Kentucky,USA
Quenton Jackson,IND,29.0,G,6-4,173 lbs,Texas A&M,USA
Andre Jackson Jr.,MIL,44.0,G,6-6,209 lbs,Connecticut,USA
Jaren Jackson Jr.,MEM,8.0,F-C,6-10,242 lbs,Michigan State,USA
Trayce Jackson-Davis,GSW,32.0,F,6-9,245 lbs,Indiana,USA
Kasparas Jakučionis,MIA,25.0,G,6-5,200 lbs,Illinois-Urbana-Champaign,Lithuania
Bronny James,LAL,9.0,G,6-2,210 lbs,Southern California,USA
LeBron James,LAL,23.0,F,6-9,250 lbs,St. Vincent-St. Mary HS (OH),USA
Sion James,CHA,4.0,G,6-5,220 lbs,Duke,USA
Jaime Jaquez Jr.,MIA,11.0,G,6-6,225 lbs,UCLA,USA
Trey Jemison III,NYK,50.0,C,6-10,270 lbs,Alabama-Birmingham,USA
Daniss Jenkins,DET,24.0,G,6-4,165 lbs,St. John's,USA
Ty Jerome,MEM,2.0,G-F,6-5,195 lbs,Virginia,USA
Isaiah Joe,OKC,11.0,G,6-4,165 lbs,Arkansas,USA
AJ Johnson,WAS,4.0,G,6-5,160 lbs,Illawarra,USA
Cameron Johnson,DEN,23.0,F,6-8,210 lbs,North Carolina,USA
Jalen Johnson,ATL,1.0,F,6-8,219 lbs,Duke,USA
Keldon Johnson,SAS,3.0,F-G,6-6,220 lbs,Kentucky,USA
Keshad Johnson,MIA,16.0,F,6-6,225 lbs,Arizona,USA
Tre Johnson,WAS,12.0,G,6-5,190 lbs,Texas,USA
Nikola Jokić,DEN,15.0,C,6-11,284 lbs,Mega Basket,Serbia
Colby Jones,DET,0.0,G,6-6,207 lbs,Xavier,USA
Herbert Jones,NOP,2.0,F,6-7,206 lbs,Alabama,USA
Isaac Jones,SAC,3.0,F,6-8,245 lbs,Washington State,USA
Kam Jones,IND,7.0,G,6-4,200 lbs,Marquette,USA
Spencer Jones,DEN,21.0,F,6-7,225 lbs,Stanford,USA
Tre Jones,CHI,30.0,G,6-1,185 lbs,Duke,USA
Tyus Jones,ORL,2.0,G,6-0,196 lbs,Duke,USA
David Jones Garcia,SAS,25.0,F,6-4,210 lbs,Memphis,Dominican Republic
Derrick Jones Jr.,LAC,5.0,F,6-6,210 lbs,UNLV,USA
DeAndre Jordan,NOP,6.0,C,6-11,265 lbs,Texas A&M,USA
Nikola Jović,MIA,5.0,F,6-10,205 lbs,Mega Basket,Serbia
Johnny Juzang,MIN,9.0,G,6-7,226 lbs,UCLA,USA
Ryan Kalkbrenner,CHA,11.0,C,7-1,256 lbs,Creighton,USA
Miles Kelly,DAL,14.0,G,6-4,190 lbs,Auburn,USA
Luke Kennard,ATL,3.0,G,6-5,206 lbs,Duke,USA
Walker Kessler,UTA,24.0,C,7-2,245 lbs,Auburn,USA
Corey Kispert,WAS,24.0,F,6-6,224 lbs,Gonzaga,USA
Maxi Kleber,LAL,14.0,F,6-10,240 lbs,Bayern Munich,Germany
Bobi Klintman,DET,34.0,F,6-9,225 lbs,Wake Forest,Sweden
Dalton Knecht,LAL,4.0,F,6-6,215 lbs,Tennessee,USA
Kon Knueppel,CHA,7.0,G-F,6-6,215 lbs,Duke,USA
Tyler Kolek,NYK,13.0,G,6-2,195 lbs,Marquette,USA
Christian Koloko,LAL,10.0,C,6-11,225 lbs,Arizona,Cameroon
